iter	Passed	Remaining
0	1	191
1	3	168
2	4	156
3	6	145
4	7	144
5	8	140
6	10	138
7	11	137
8	13	136
9	14	134
10	16	132
11	17	131
12	19	129
13	20	126
14	22	124
15	23	123
16	24	121
17	25	118
18	27	116
19	28	114
20	29	112
21	31	110
22	32	108
23	33	106
24	34	104
25	36	103
26	37	101
27	38	99
28	40	98
29	41	97
30	43	95
31	44	94
32	45	92
33	46	90
34	48	89
35	49	88
36	50	86
37	52	85
38	53	84
39	55	82
40	56	81
41	56	78
42	58	77
43	59	75
44	60	74
45	62	72
46	63	71
47	64	70
48	66	69
49	67	67
50	68	66
51	70	64
52	71	63
53	72	62
54	73	60
55	74	58
56	76	57
57	77	56
58	78	54
59	80	53
60	81	52
61	82	50
62	83	49
63	85	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	92	39
70	94	38
71	95	37
72	96	35
73	98	34
74	99	33
75	100	31
76	102	30
77	103	29
78	104	27
79	105	26
80	107	25
81	108	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	115	15
88	116	14
89	118	13
90	119	11
91	120	10
92	121	9
93	123	7
94	124	6
95	126	5
96	127	3
97	129	2
98	131	1
99	132	0
